StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Consent form ,khonest,Ksin,Keth,Klike,Kapp,Kconf,Shon,Ssin,Sethic,Slike,Sapp,minsmart,minbetter,mincreative,minrather,minshould,minregard,mintyp,minkeep,minget,Hhon,Hsin,Seth,Hlike,Happ,Hcon,Fhin,Fsin,Feth,Flike,Fapp,modsmart,modbett,modcreat,modrath,modshou,modreg,modtyp,modkeep,modget,XHHON,XSIN,XETH,XLIKE,XAPP,XCON,yhon,Ysin,Yeth,Ylike,Yapp,Majsmart,majbet,majcreat,majrath,majshould,majreg,majtyp,majkeep,majget,attention1,gender identity,Q78,education,old,country,lang,Q_RecaptchaStatus
1/28/2026 20:19,1/28/2026 20:22,100,168,TRUE,1/28/2026 20:22,R_9rP1Up518BIjeFu,anonymous,EN,1,"Yes, I consent",4 = somewhat honest,5 = very sincere,3 = neither ethical nor unethical,4 = somewhat likeable,5 = very approachable,5 = very confident the findings are true,5 = very honest,4 = somewhat sincere,4 = somewhat ethical,5 = very likeable,4 = somewhat approachable,reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),neither reported (K) nor reporting researcher (S),reporting researcher (S),4 = somewhat honest,5 = very sincere,4 = somewhat ethical,4 = somewhat likeable,5 = very approachable,4 = somewhat confident the findings are true,5 = very honest,3 = neither sincere nor insincere,4 = somewhat ethical,4 = somewhat likeable,4 = somewhat approachable,reporting researcher (F),reporting researcher (F),reported researcher (H),reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),reported researcher (H),4 = somewhat honest,4 = somewhat sincere,4 = somewhat ethical,4 = somewhat likeable,5 = very approachable,4 = somewhat confident the findings are true,5 = very honest,4 = somewhat sincere,5 = very ethical,4 = somewhat likeable,4 = somewhat approachable,reporting researcher (Y),reported researcher (X),neither reported (X) nor reporting researcher (Y),neither reported (X) nor reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reported researcher (X),neither reported (X) nor reporting researcher (Y),reported researcher (X),Somewhat disagree,Male,,Bachelor’s Degree,24,India,English and Hindi ,complete
1/28/2026 20:20,1/28/2026 20:23,100,179,TRUE,1/28/2026 20:23,R_4ImXCMfJpUFTd9g,anonymous,EN,1,"Yes, I consent",5 = very honest,4 = somewhat sincere,4 = somewhat ethical,4 = somewhat likeable,5 = very approachable,4 = somewhat confident the findings are true,3 = neither honest nor dishonest,4 = somewhat sincere,4 = somewhat ethical,4 = somewhat likeable,3 = neither approachable nor unapproachable,neither reported (K) nor reporting researcher (S),reporting researcher (S),reported researcher (K),neither reported (K) nor reporting researcher (S),neither reported (K) nor reporting researcher (S),reporting researcher (S),reporting researcher (S),neither reported (K) nor reporting researcher (S),neither reported (K) nor reporting researcher (S),4 = somewhat honest,4 = somewhat sincere,4 = somewhat ethical,4 = somewhat likeable,4 = somewhat approachable,4 = somewhat confident the findings are true,4 = somewhat honest,5 = very sincere,3 = neither ethical nor unethical,5 = very likeable,3 = neither approachable nor unapproachable,reporting researcher (F),neither reported (H) nor reporting researcher (F),reported researcher (H),neither reported (H) nor reporting researcher (F),neither reported (H) nor reporting researcher (F),neither reported (H) nor reporting researcher (F),neither reported (H) nor reporting researcher (F),neither reported (H) nor reporting researcher (F),neither reported (H) nor reporting researcher (F),4 = somewhat honest,4 = somewhat sincere,3 = neither ethical nor unethical,5 = very likeable,3 = neither approachable nor unapproachable,4 = somewhat confident the findings are true,4 = somewhat honest,4 = somewhat sincere,4 = somewhat ethical,4 = somewhat likeable,4 = somewhat approachable,neither reported (X) nor reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),neither reported (X) nor reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),neither reported (X) nor reporting researcher (Y),reporting researcher (Y),neither reported (X) nor reporting researcher (Y),Somewhat disagree,Male,,Master’s Degree,36,india,,complete
1/28/2026 20:16,1/28/2026 20:24,100,456,TRUE,1/28/2026 20:24,R_9rOUYjzn9ucL4BM,anonymous,EN,1,"Yes, I consent",4 = somewhat honest,4 = somewhat sincere,1 = very unethical,3 = neither likeable nor unlikeable,3 = neither approachable nor unapproachable,4 = somewhat confident the findings are true,4 = somewhat honest,5 = very sincere,3 = neither ethical nor unethical,4 = somewhat likeable,5 = very approachable,reporting researcher (S),reported researcher (K),reported researcher (K),neither reported (K) nor reporting researcher (S),neither reported (K) nor reporting researcher (S),neither reported (K) nor reporting researcher (S),neither reported (K) nor reporting researcher (S),reported researcher (K),reported researcher (K),5 = very honest,4 = somewhat sincere,5 = very ethical,5 = very likeable,4 = somewhat approachable,3 = could go either way,3 = neither honest nor dishonest,3 = neither sincere nor insincere,4 = somewhat ethical,4 = somewhat likeable,4 = somewhat approachable,reported researcher (H),reported researcher (H),reported researcher (H),reported researcher (H),neither reported (H) nor reporting researcher (F),neither reported (H) nor reporting researcher (F),neither reported (H) nor reporting researcher (F),neither reported (H) nor reporting researcher (F),neither reported (H) nor reporting researcher (F),3 = neither honest nor dishonest,2 = somewhat insincere,2 = somewhat unethical,3 = neither likeable nor unlikeable,4 = somewhat approachable,4 = somewhat confident the findings are true,3 = neither honest nor dishonest,4 = somewhat sincere,5 = very ethical,5 = very likeable,4 = somewhat approachable,neither reported (X) nor reporting researcher (Y),reporting researcher (Y),reported researcher (X),reported researcher (X),reported researcher (X),reporting researcher (Y),reported researcher (X),reported researcher (X),reported researcher (X),Somewhat disagree,Male,,Bachelor’s Degree,30,India ,Tamil ,complete
1/28/2026 20:20,1/28/2026 20:25,100,319,TRUE,1/28/2026 20:25,R_406nB6rmN7qmePo,anonymous,EN,1,"Yes, I consent",2 = somewhat dishonest,2 = somewhat insincere,2 = somewhat unethical,2 = somewhat unlikeable,2 = somewhat unapproachable,2 = somewhat confident the findings are false,5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),4 = somewhat honest,5 = very sincere,4 = somewhat ethical,4 = somewhat likeable,3 = neither approachable nor unapproachable,4 = somewhat confident the findings are true,3 = neither honest nor dishonest,2 = somewhat insincere,3 = neither ethical nor unethical,2 = somewhat unlikeable,2 = somewhat unapproachable,reported researcher (H),reported researcher (H),reported researcher (H),reported researcher (H),reported researcher (H),reported researcher (H),neither reported (H) nor reporting researcher (F),neither reported (H) nor reporting researcher (F),reported researcher (H),4 = somewhat honest,4 = somewhat sincere,4 = somewhat ethical,4 = somewhat likeable,4 = somewhat approachable,4 = somewhat confident the findings are true,2 = somewhat dishonest,2 = somewhat insincere,2 = somewhat unethical,2 = somewhat unlikeable,2 = somewhat unapproachable,reported researcher (X),reported researcher (X),reported researcher (X),reported researcher (X),reported researcher (X),reported researcher (X),reported researcher (X),neither reported (X) nor reporting researcher (Y),reported researcher (X),Somewhat disagree,Female,,"Doctoral Degree (e.g. Ph.D., M.D., J.D., or equivalent)",25,India,English and hindi ,complete
1/28/2026 20:09,1/28/2026 20:25,100,943,TRUE,1/28/2026 20:25,R_4qvXNuKsLnjk2l3,anonymous,EN,1,"Yes, I consent",5 = very honest,5 = very sincere,4 = somewhat ethical,5 = very likeable,4 = somewhat approachable,5 = very confident the findings are true,5 = very honest,4 = somewhat sincere,4 = somewhat ethical,4 = somewhat likeable,5 = very approachable,reported researcher (K),reported researcher (K),reporting researcher (S),reporting researcher (S),reported researcher (K),reporting researcher (S),reporting researcher (S),reported researcher (K),reporting researcher (S),5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,5 = very confident the findings are true,1 = very dishonest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,reported researcher (H),reported researcher (H),reported researcher (H),reported researcher (H),reported researcher (H),reported researcher (H),reporting researcher (F),reporting researcher (F),reporting researcher (F),5 = very honest,5 = very sincere,4 = somewhat ethical,4 = somewhat likeable,4 = somewhat approachable,4 = somewhat confident the findings are true,2 = somewhat dishonest,4 = somewhat sincere,3 = neither ethical nor unethical,4 = somewhat likeable,5 = very approachable,reporting researcher (Y),reported researcher (X),reporting researcher (Y),reporting researcher (Y),reported researcher (X),reporting researcher (Y),reporting researcher (Y),reported researcher (X),reporting researcher (Y),Strongly agree,Male,,Bachelor’s Degree,33,India ,Tamil and English ,complete
1/28/2026 20:16,1/28/2026 20:25,100,544,TRUE,1/28/2026 20:25,R_41grpsXAqE2x2L0,anonymous,EN,0.699999988,"Yes, I consent",5 = very honest,5 = very sincere,4 = somewhat ethical,5 = very likeable,5 = very approachable,5 = very confident the findings are true,5 = very honest,5 = very sincere,5 = very ethical,4 = somewhat likeable,5 = very approachable,reported researcher (K),reported researcher (K),reported researcher (K),reported researcher (K),reported researcher (K),reported researcher (K),reported researcher (K),reported researcher (K),reported researcher (K),5 = very honest,4 = somewhat sincere,5 = very ethical,5 = very likeable,3 = neither approachable nor unapproachable,5 = very confident the findings are true,5 = very honest,3 = neither sincere nor insincere,4 = somewhat ethical,5 = very likeable,5 = very approachable,reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),5 = very honest,4 = somewhat sincere,5 = very ethical,5 = very likeable,5 = very approachable,5 = very confident the findings are true,5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),Somewhat disagree,Male,,Master’s Degree,29,India,"English, hindi",complete
1/28/2026 20:18,1/28/2026 20:30,100,687,TRUE,1/28/2026 20:30,R_4n1Qw3ezE2zzFM3,anonymous,EN,1,"Yes, I consent",4 = somewhat honest,4 = somewhat sincere,4 = somewhat ethical,4 = somewhat likeable,4 = somewhat approachable,4 = somewhat confident the findings are true,5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),1 = very dishonest,1 = very insincere,1 = very unethical,1 = very unlikeable,1 = very unapproachable,1 = very confident the findings are false,5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,reported researcher (H),reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),reported researcher (H),reporting researcher (F),reporting researcher (F),2 = somewhat dishonest,2 = somewhat insincere,2 = somewhat unethical,2 = somewhat unlikeable,2 = somewhat unapproachable,1 = very confident the findings are false,5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,neither reported (X) nor reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),Somewhat disagree,Male,,Master’s Degree,39,India,"Hindi,English.",complete
1/28/2026 20:26,1/28/2026 20:31,100,316,TRUE,1/28/2026 20:31,R_9ilENzaAwtJZTxh,anonymous,EN,1,"Yes, I consent",5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,5 = very confident the findings are true,5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,reporting researcher (S),reported researcher (K),reported researcher (K),reporting researcher (S),reported researcher (K),reported researcher (K),reporting researcher (S),reporting researcher (S),reporting researcher (S),5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,5 = very confident the findings are true,5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,reporting researcher (F),reporting researcher (F),reported researcher (H),reported researcher (H),reporting researcher (F),reporting researcher (F),reporting researcher (F),reported researcher (H),reported researcher (H),5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,5 = very confident the findings are true,5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,reporting researcher (Y),reporting researcher (Y),reported researcher (X),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reported researcher (X),reported researcher (X),Somewhat disagree,Male,,Bachelor’s Degree,35,India,Hindi English ,complete
1/28/2026 20:21,1/28/2026 20:33,100,718,TRUE,1/28/2026 20:33,R_9YBMyaVwffGterT,anonymous,EN,1,"Yes, I consent",1 = very dishonest,2 = somewhat insincere,2 = somewhat unethical,3 = neither likeable nor unlikeable,3 = neither approachable nor unapproachable,3 = could go either way,5 = very honest,2 = somewhat insincere,3 = neither ethical nor unethical,2 = somewhat unlikeable,3 = neither approachable nor unapproachable,neither reported (K) nor reporting researcher (S),neither reported (K) nor reporting researcher (S),neither reported (K) nor reporting researcher (S),neither reported (K) nor reporting researcher (S),neither reported (K) nor reporting researcher (S),neither reported (K) nor reporting researcher (S),neither reported (K) nor reporting researcher (S),neither reported (K) nor reporting researcher (S),neither reported (K) nor reporting researcher (S),4 = somewhat honest,5 = very sincere,4 = somewhat ethical,4 = somewhat likeable,5 = very approachable,1 = very confident the findings are false,5 = very honest,1 = very insincere,4 = somewhat ethical,5 = very likeable,4 = somewhat approachable,reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),5 = very honest,3 = neither sincere nor insincere,3 = neither ethical nor unethical,3 = neither likeable nor unlikeable,3 = neither approachable nor unapproachable,1 = very confident the findings are false,2 = somewhat dishonest,2 = somewhat insincere,3 = neither ethical nor unethical,4 = somewhat likeable,4 = somewhat approachable,neither reported (X) nor reporting researcher (Y),neither reported (X) nor reporting researcher (Y),reporting researcher (Y),neither reported (X) nor reporting researcher (Y),neither reported (X) nor reporting researcher (Y),neither reported (X) nor reporting researcher (Y),neither reported (X) nor reporting researcher (Y),neither reported (X) nor reporting researcher (Y),neither reported (X) nor reporting researcher (Y),Strongly agree,Male,,Some High School,30,Indea ,Hindi ,complete
1/28/2026 20:30,1/28/2026 20:33,100,171,TRUE,1/28/2026 20:33,R_9E7fslAgQAg9yc7,anonymous,EN,1,"Yes, I consent",3 = neither honest nor dishonest,5 = very sincere,4 = somewhat ethical,5 = very likeable,5 = very approachable,4 = somewhat confident the findings are true,3 = neither honest nor dishonest,4 = somewhat sincere,4 = somewhat ethical,5 = very likeable,4 = somewhat approachable,neither reported (K) nor reporting researcher (S),reporting researcher (S),reporting researcher (S),neither reported (K) nor reporting researcher (S),neither reported (K) nor reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),5 = very honest,4 = somewhat sincere,3 = neither ethical nor unethical,4 = somewhat likeable,5 = very approachable,4 = somewhat confident the findings are true,3 = neither honest nor dishonest,4 = somewhat sincere,5 = very ethical,4 = somewhat likeable,4 = somewhat approachable,reporting researcher (F),neither reported (H) nor reporting researcher (F),reporting researcher (F),reporting researcher (F),neither reported (H) nor reporting researcher (F),neither reported (H) nor reporting researcher (F),reporting researcher (F),neither reported (H) nor reporting researcher (F),neither reported (H) nor reporting researcher (F),5 = very honest,4 = somewhat sincere,3 = neither ethical nor unethical,3 = neither likeable nor unlikeable,4 = somewhat approachable,4 = somewhat confident the findings are true,3 = neither honest nor dishonest,5 = very sincere,5 = very ethical,5 = very likeable,4 = somewhat approachable,neither reported (X) nor reporting researcher (Y),neither reported (X) nor reporting researcher (Y),neither reported (X) nor reporting researcher (Y),neither reported (X) nor reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),neither reported (X) nor reporting researcher (Y),Strongly agree,Male,,Bachelor’s Degree,21,India,English ,complete
1/28/2026 20:29,1/28/2026 20:34,100,263,TRUE,1/28/2026 20:34,R_98gJnexCZCOTl9D,anonymous,EN,1,"Yes, I consent",5 = very honest,3 = neither sincere nor insincere,4 = somewhat ethical,4 = somewhat likeable,3 = neither approachable nor unapproachable,4 = somewhat confident the findings are true,4 = somewhat honest,4 = somewhat sincere,3 = neither ethical nor unethical,4 = somewhat likeable,4 = somewhat approachable,reporting researcher (S),neither reported (K) nor reporting researcher (S),reporting researcher (S),neither reported (K) nor reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),neither reported (K) nor reporting researcher (S),5 = very honest,5 = very sincere,4 = somewhat ethical,4 = somewhat likeable,5 = very approachable,4 = somewhat confident the findings are true,4 = somewhat honest,4 = somewhat sincere,3 = neither ethical nor unethical,4 = somewhat likeable,4 = somewhat approachable,neither reported (H) nor reporting researcher (F),reported researcher (H),neither reported (H) nor reporting researcher (F),neither reported (H) nor reporting researcher (F),reported researcher (H),reported researcher (H),neither reported (H) nor reporting researcher (F),reported researcher (H),neither reported (H) nor reporting researcher (F),4 = somewhat honest,4 = somewhat sincere,5 = very ethical,3 = neither likeable nor unlikeable,4 = somewhat approachable,4 = somewhat confident the findings are true,4 = somewhat honest,4 = somewhat sincere,4 = somewhat ethical,4 = somewhat likeable,4 = somewhat approachable,reporting researcher (Y),neither reported (X) nor reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),neither reported (X) nor reporting researcher (Y),reporting researcher (Y),neither reported (X) nor reporting researcher (Y),reporting researcher (Y),reported researcher (X),Somewhat disagree,Male,,Bachelor’s Degree,24,India,English ,complete
1/28/2026 20:35,1/28/2026 20:39,100,223,TRUE,1/28/2026 20:39,R_4s6VOptfmqBox7O,anonymous,EN,1,"Yes, I consent",5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,5 = very confident the findings are true,5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,reported researcher (K),reported researcher (K),reporting researcher (S),reported researcher (K),neither reported (K) nor reporting researcher (S),reported researcher (K),reporting researcher (S),reported researcher (K),reported researcher (K),5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,5 = very confident the findings are true,5 = very honest,5 = very sincere,5 = very ethical,4 = somewhat likeable,5 = very approachable,reported researcher (H),reporting researcher (F),reported researcher (H),reported researcher (H),reported researcher (H),reporting researcher (F),neither reported (H) nor reporting researcher (F),reported researcher (H),neither reported (H) nor reporting researcher (F),5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,5 = very confident the findings are true,5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,reporting researcher (Y),reported researcher (X),reported researcher (X),reporting researcher (Y),reporting researcher (Y),reported researcher (X),reported researcher (X),reported researcher (X),reporting researcher (Y),Somewhat disagree,Female,,High School Diploma or GED,40,India ,Hindi ,complete
1/28/2026 20:35,1/28/2026 20:39,100,207,TRUE,1/28/2026 20:39,R_4QEFYlGIUvORZhe,anonymous,EN,1,"Yes, I consent",5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,5 = very confident the findings are true,5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,reporting researcher (S),reported researcher (K),reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,5 = very confident the findings are true,5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,reported researcher (H),reported researcher (H),reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,5 = very confident the findings are true,5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reported researcher (X),reporting researcher (Y),reported researcher (X),reported researcher (X),reported researcher (X),reporting researcher (Y),Somewhat disagree,Male,,Master’s Degree,1987,India,English,complete
1/28/2026 20:32,1/28/2026 20:40,100,467,TRUE,1/28/2026 20:40,R_4p8nx5RFtpMoq5j,anonymous,EN,1,"Yes, I consent",5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,5 = very confident the findings are true,5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),4 = somewhat honest,4 = somewhat sincere,4 = somewhat ethical,3 = neither likeable nor unlikeable,3 = neither approachable nor unapproachable,4 = somewhat confident the findings are true,3 = neither honest nor dishonest,4 = somewhat sincere,3 = neither ethical nor unethical,4 = somewhat likeable,4 = somewhat approachable,reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,5 = very confident the findings are true,5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),reporting researcher (Y),neither reported (X) nor reporting researcher (Y),reporting researcher (Y),Somewhat disagree,Male,,Bachelor’s Degree,31,India ,Very good ,complete
1/28/2026 20:29,1/28/2026 20:41,100,681,TRUE,1/28/2026 20:41,R_9rlNidk5ev1amCB,anonymous,EN,1,"Yes, I consent",5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,5 = very confident the findings are true,5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,neither reported (K) nor reporting researcher (S),reporting researcher (S),neither reported (K) nor reporting researcher (S),neither reported (K) nor reporting researcher (S),reported researcher (K),neither reported (K) nor reporting researcher (S),neither reported (K) nor reporting researcher (S),neither reported (K) nor reporting researcher (S),neither reported (K) nor reporting researcher (S),5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,5 = very confident the findings are true,5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,neither reported (H) nor reporting researcher (F),neither reported (H) nor reporting researcher (F),neither reported (H) nor reporting researcher (F),neither reported (H) nor reporting researcher (F),neither reported (H) nor reporting researcher (F),neither reported (H) nor reporting researcher (F),neither reported (H) nor reporting researcher (F),neither reported (H) nor reporting researcher (F),neither reported (H) nor reporting researcher (F),5 = very honest,5 = very sincere,4 = somewhat ethical,5 = very likeable,5 = very approachable,4 = somewhat confident the findings are true,5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,reported researcher (X),reported researcher (X),reported researcher (X),reported researcher (X),reported researcher (X),reported researcher (X),reported researcher (X),reported researcher (X),reported researcher (X),Somewhat disagree,Male,,Bachelor’s Degree,29,India ,"English, Hindi ",complete
1/28/2026 20:36,1/28/2026 20:42,100,358,TRUE,1/28/2026 20:42,R_4qjY7RQxu1xxpPi,anonymous,EN,1,"Yes, I consent",4 = somewhat honest,4 = somewhat sincere,4 = somewhat ethical,4 = somewhat likeable,4 = somewhat approachable,4 = somewhat confident the findings are true,4 = somewhat honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,reporting researcher (S),reported researcher (K),reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),reported researcher (K),reported researcher (K),reporting researcher (S),5 = very honest,5 = very sincere,4 = somewhat ethical,4 = somewhat likeable,1 = very unapproachable,5 = very confident the findings are true,2 = somewhat dishonest,4 = somewhat sincere,4 = somewhat ethical,4 = somewhat likeable,4 = somewhat approachable,reported researcher (H),reported researcher (H),reported researcher (H),reported researcher (H),reported researcher (H),reported researcher (H),reported researcher (H),reported researcher (H),reported researcher (H),4 = somewhat honest,1 = very insincere,5 = very ethical,5 = very likeable,4 = somewhat approachable,5 = very confident the findings are true,4 = somewhat honest,4 = somewhat sincere,2 = somewhat unethical,4 = somewhat likeable,4 = somewhat approachable,reported researcher (X),reported researcher (X),reported researcher (X),neither reported (X) nor reporting researcher (Y),reported researcher (X),reported researcher (X),reported researcher (X),reported researcher (X),reported researcher (X),Neither agree nor disagree,Female,,Master’s Degree,22,India,Marathi ,complete
1/28/2026 20:31,1/28/2026 20:42,100,700,TRUE,1/28/2026 20:42,R_9usm4PSwRTPz8GJ,anonymous,EN,1,"Yes, I consent",1 = very dishonest,1 = very insincere,1 = very unethical,1 = very unlikeable,1 = very unapproachable,1 = very confident the findings are false,5 = very honest,5 = very sincere,4 = somewhat ethical,5 = very likeable,5 = very approachable,reporting researcher (S),reported researcher (K),reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),reporting researcher (S),neither reported (K) nor reporting researcher (S),reporting researcher (S),5 = very honest,5 = very sincere,2 = somewhat unethical,5 = very likeable,2 = somewhat unapproachable,2 = somewhat confident the findings are false,5 = very honest,5 = very sincere,5 = very ethical,5 = very likeable,5 = very approachable,reported researcher (H),reported researcher (H),reported researcher (H),reported researcher (H),reported researcher (H),reported researcher (H),reported researcher (H),reported researcher (H),reported researcher (H),1 = very dishonest,1 = very insincere,1 = very unethical,1 = very unlikeable,1 = very unapproachable,1 = very confident the findings are false,5 = very honest,4 = somewhat sincere,5 = very ethical,5 = very likeable,5 = very approachable,reported researcher (X),reporting researcher (Y),reporting researcher (Y),reported researcher (X),reported researcher (X),reported researcher (X),reported researcher (X),reported researcher (X),reported researcher (X),Somewhat disagree,Male,,"Doctoral Degree (e.g. Ph.D., M.D., J.D., or equivalent)",25,India ,Hindi ,complete
1/28/2026 20:33,1/28/2026 20:43,100,635,TRUE,1/28/2026 20:43,R_4LoqSHWrHPJTqxM,anonymous,EN,0.699999988,"Yes, I consent",3 = neither honest nor dishonest,4 = somewhat sincere,2 = somewhat unethical,2 = somewhat unlikeable,3 = neither approachable nor unapproachable,3 = could go either way,3 = neither honest nor dishonest,2 = somewhat insincere,2 = somewhat unethical,2 = somewhat unlikeable,3 = neither approachable nor unapproachable,neither reported (K) nor reporting researcher (S),neither reported (K) nor reporting researcher (S),reporting researcher (S),reporting researcher (S),neither reported (K) nor reporting researcher (S),neither reported (K) nor reporting researcher (S),neither reported (K) nor reporting researcher (S),neither reported (K) nor reporting researcher (S),neither reported (K) nor reporting researcher (S),5 = very honest,5 = very sincere,4 = somewhat ethical,4 = somewhat likeable,3 = neither approachable nor unapproachable,3 = could go either way,4 = somewhat honest,4 = somewhat sincere,4 = somewhat ethical,2 = somewhat unlikeable,4 = somewhat approachable,neither reported (H) nor reporting researcher (F),reporting researcher (F),reported researcher (H),neither reported (H) nor reporting researcher (F),neither reported (H) nor reporting researcher (F),reporting researcher (F),reporting researcher (F),reporting researcher (F),reported researcher (H),4 = somewhat honest,3 = neither sincere nor insincere,3 = neither ethical nor unethical,4 = somewhat likeable,3 = neither approachable nor unapproachable,3 = could go either way,3 = neither honest nor dishonest,4 = somewhat sincere,2 = somewhat unethical,4 = somewhat likeable,3 = neither approachable nor unapproachable,neither reported (X) nor reporting researcher (Y),reported researcher (X),reported researcher (X),neither reported (X) nor reporting researcher (Y),neither reported (X) nor reporting researcher (Y),neither reported (X) nor reporting researcher (Y),neither reported (X) nor reporting researcher (Y),neither reported (X) nor reporting researcher (Y),reported researcher (X),Somewhat disagree,Male,,Master’s Degree,23,India ,English ,complete
